Description for merged_1007.mat
=====================================
Link: Bristol ↔ BDFI, bidirectional, daily acquisition.
Sampling rate: 97656.250 Hz (Ts=1.024000e-05 s)
Total samples: 24707072
Blocks: 1508

Each CSV contains: Time (datetime), S1, S2, S3 (Stokes parameters).

Blocks overview:
  Block  106: 0106_PM1000_20251006_105301_2025-10-07_01-45-37.mat.csv | samples=16384 | start=2025/10/07 01:45:34.793330000 | end=2025/10/07 01:45:34.961091920
  Block  107: 0107_PM1000_20251006_105301_2025-10-07_01-46-28.mat.csv | samples=16384 | start=2025/10/07 01:46:25.546136000 | end=2025/10/07 01:46:25.713897920
  Block  108: 0108_PM1000_20251006_105301_2025-10-07_01-47-18.mat.csv | samples=16384 | start=2025/10/07 01:47:16.320518000 | end=2025/10/07 01:47:16.488279920
  Block  109: 0109_PM1000_20251006_105301_2025-10-07_01-48-09.mat.csv | samples=16384 | start=2025/10/07 01:48:07.397839000 | end=2025/10/07 01:48:07.565600920
  Block  110: 0110_PM1000_20251006_105301_2025-10-07_01-49-00.mat.csv | samples=16384 | start=2025/10/07 01:48:58.214122000 | end=2025/10/07 01:48:58.381883920
  Block  111: 0111_PM1000_20251006_105301_2025-10-07_01-49-51.mat.csv | samples=16384 | start=2025/10/07 01:49:48.897961000 | end=2025/10/07 01:49:49.065722920
  Block  112: 0112_PM1000_20251006_105301_2025-10-07_01-50-42.mat.csv | samples=16384 | start=2025/10/07 01:50:39.573376000 | end=2025/10/07 01:50:39.741137920
  Block  113: 0113_PM1000_20251006_105301_2025-10-07_01-51-32.mat.csv | samples=16384 | start=2025/10/07 01:51:30.302376000 | end=2025/10/07 01:51:30.470137920
  Block  114: 0114_PM1000_20251006_105301_2025-10-07_01-52-23.mat.csv | samples=16384 | start=2025/10/07 01:52:20.986458000 | end=2025/10/07 01:52:21.154219919
  Block  115: 0115_PM1000_20251006_105301_2025-10-07_01-53-14.mat.csv | samples=16384 | start=2025/10/07 01:53:11.606333000 | end=2025/10/07 01:53:11.774094920
  Block  116: 0116_PM1000_20251006_105301_2025-10-07_01-54-04.mat.csv | samples=16384 | start=2025/10/07 01:54:02.293097000 | end=2025/10/07 01:54:02.460858920
  Block  117: 0117_PM1000_20251006_105301_2025-10-07_01-54-55.mat.csv | samples=16384 | start=2025/10/07 01:54:52.694818000 | end=2025/10/07 01:54:52.862579920
  Block  118: 0118_PM1000_20251006_105301_2025-10-07_01-55-46.mat.csv | samples=16384 | start=2025/10/07 01:55:43.440971000 | end=2025/10/07 01:55:43.608732920
  Block  119: 0119_PM1000_20251006_105301_2025-10-07_01-57-35.mat.csv | samples=16384 | start=2025/10/07 01:56:34.147932000 | end=2025/10/07 01:56:34.315693920
  Block  120: 0120_PM1000_20251006_105301_2025-10-07_01-58-26.mat.csv | samples=16384 | start=2025/10/07 01:58:23.764933000 | end=2025/10/07 01:58:23.932694920
  Block  121: 0121_PM1000_20251006_105301_2025-10-07_01-59-17.mat.csv | samples=16384 | start=2025/10/07 01:59:14.478519000 | end=2025/10/07 01:59:14.646280920
  Block  122: 0122_PM1000_20251006_105301_2025-10-07_02-00-07.mat.csv | samples=16384 | start=2025/10/07 02:00:05.151478000 | end=2025/10/07 02:00:05.319239920
  Block  123: 0123_PM1000_20251006_105301_2025-10-07_02-00-58.mat.csv | samples=16384 | start=2025/10/07 02:00:55.844745000 | end=2025/10/07 02:00:56.012506920
  Block  124: 0124_PM1000_20251006_105301_2025-10-07_02-01-49.mat.csv | samples=16384 | start=2025/10/07 02:01:46.510418999 | end=2025/10/07 02:01:46.678180920
  Block  125: 0125_PM1000_20251006_105301_2025-10-07_02-02-39.mat.csv | samples=16384 | start=2025/10/07 02:02:37.422769000 | end=2025/10/07 02:02:37.590530920
  Block  126: 0126_PM1000_20251006_105301_2025-10-07_02-03-30.mat.csv | samples=16384 | start=2025/10/07 02:03:28.037727000 | end=2025/10/07 02:03:28.205488920
  Block  127: 0127_PM1000_20251006_105301_2025-10-07_02-04-21.mat.csv | samples=16384 | start=2025/10/07 02:04:18.523101000 | end=2025/10/07 02:04:18.690862920
  Block  128: 0128_PM1000_20251006_105301_2025-10-07_02-05-11.mat.csv | samples=16384 | start=2025/10/07 02:05:09.250178000 | end=2025/10/07 02:05:09.417939920
  Block  129: 0129_PM1000_20251006_105301_2025-10-07_02-06-02.mat.csv | samples=16384 | start=2025/10/07 02:05:59.834059000 | end=2025/10/07 02:06:00.001820919
  Block  130: 0130_PM1000_20251006_105301_2025-10-07_02-06-53.mat.csv | samples=16384 | start=2025/10/07 02:06:50.551557000 | end=2025/10/07 02:06:50.719318920
  Block  131: 0131_PM1000_20251006_105301_2025-10-07_02-08-42.mat.csv | samples=16384 | start=2025/10/07 02:07:41.259289000 | end=2025/10/07 02:07:41.427050920
  Block  132: 0132_PM1000_20251006_105301_2025-10-07_02-10-32.mat.csv | samples=16384 | start=2025/10/07 02:09:31.089716000 | end=2025/10/07 02:09:31.257477920
  Block  133: 0133_PM1000_20251006_105301_2025-10-07_02-11-23.mat.csv | samples=16384 | start=2025/10/07 02:11:20.855915000 | end=2025/10/07 02:11:21.023676919
  Block  134: 0134_PM1000_20251006_105301_2025-10-07_02-12-14.mat.csv | samples=16384 | start=2025/10/07 02:12:11.518622000 | end=2025/10/07 02:12:11.686383920
  Block  135: 0135_PM1000_20251006_105301_2025-10-07_02-13-04.mat.csv | samples=16384 | start=2025/10/07 02:13:01.992852000 | end=2025/10/07 02:13:02.160613919
  Block  136: 0136_PM1000_20251006_105301_2025-10-07_02-14-54.mat.csv | samples=16384 | start=2025/10/07 02:13:52.625899000 | end=2025/10/07 02:13:52.793660920
  Block  137: 0137_PM1000_20251006_105301_2025-10-07_02-15-44.mat.csv | samples=16384 | start=2025/10/07 02:15:42.413611000 | end=2025/10/07 02:15:42.581372920
  Block  138: 0138_PM1000_20251006_105301_2025-10-07_02-16-35.mat.csv | samples=16384 | start=2025/10/07 02:16:33.030034000 | end=2025/10/07 02:16:33.197795920
  Block  139: 0139_PM1000_20251006_105301_2025-10-07_02-17-26.mat.csv | samples=16384 | start=2025/10/07 02:17:23.799417000 | end=2025/10/07 02:17:23.967178920
  Block  140: 0140_PM1000_20251006_105301_2025-10-07_02-18-17.mat.csv | samples=16384 | start=2025/10/07 02:18:14.696195000 | end=2025/10/07 02:18:14.863956920
  Block  141: 0141_PM1000_20251006_105301_2025-10-07_02-19-07.mat.csv | samples=16384 | start=2025/10/07 02:19:05.358320000 | end=2025/10/07 02:19:05.526081920
  Block  142: 0142_PM1000_20251006_105301_2025-10-07_02-19-58.mat.csv | samples=16384 | start=2025/10/07 02:19:56.087086000 | end=2025/10/07 02:19:56.254847920
  Block  143: 0143_PM1000_20251006_105301_2025-10-07_02-20-49.mat.csv | samples=16384 | start=2025/10/07 02:20:46.887933000 | end=2025/10/07 02:20:47.055694919
  Block  144: 0144_PM1000_20251006_105301_2025-10-07_02-21-40.mat.csv | samples=16384 | start=2025/10/07 02:21:37.522047999 | end=2025/10/07 02:21:37.689809920
  Block  145: 0145_PM1000_20251006_105301_2025-10-07_02-22-30.mat.csv | samples=16384 | start=2025/10/07 02:22:28.185217000 | end=2025/10/07 02:22:28.352978920
  Block  146: 0146_PM1000_20251006_105301_2025-10-07_02-23-21.mat.csv | samples=16384 | start=2025/10/07 02:23:18.856377000 | end=2025/10/07 02:23:19.024138920
  Block  147: 0147_PM1000_20251006_105301_2025-10-07_02-24-11.mat.csv | samples=16384 | start=2025/10/07 02:24:09.448527000 | end=2025/10/07 02:24:09.616288919
  Block  148: 0148_PM1000_20251006_105301_2025-10-07_02-25-02.mat.csv | samples=16384 | start=2025/10/07 02:24:59.831699000 | end=2025/10/07 02:24:59.999460920
  Block  149: 0149_PM1000_20251006_105301_2025-10-07_02-25-53.mat.csv | samples=16384 | start=2025/10/07 02:25:50.451034000 | end=2025/10/07 02:25:50.618795920
  Block  150: 0150_PM1000_20251006_105301_2025-10-07_02-26-43.mat.csv | samples=16384 | start=2025/10/07 02:26:40.995966000 | end=2025/10/07 02:26:41.163727920
  Block  151: 0151_PM1000_20251006_105301_2025-10-07_02-27-34.mat.csv | samples=16384 | start=2025/10/07 02:27:31.678033000 | end=2025/10/07 02:27:31.845794920
  Block  152: 0152_PM1000_20251006_105301_2025-10-07_02-28-24.mat.csv | samples=16384 | start=2025/10/07 02:28:22.394011000 | end=2025/10/07 02:28:22.561772920
  Block  153: 0153_PM1000_20251006_105301_2025-10-07_02-29-15.mat.csv | samples=16384 | start=2025/10/07 02:29:13.115595000 | end=2025/10/07 02:29:13.283356920
  Block  154: 0154_PM1000_20251006_105301_2025-10-07_02-30-06.mat.csv | samples=16384 | start=2025/10/07 02:30:03.864472000 | end=2025/10/07 02:30:04.032233919
