Time_Start,Time_End,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
2024-01-16 04:16:00,2024-01-16 04:30:50,0.008805670327380952,0.004835980511904763,3.250643636904761e-05,8.871658892857148e-07,0.0,0.0,0.0,0.0
2024-01-16 04:31:01,2024-01-16 04:45:50,0.008758414863095237,0.004810530958333333,3.4364521130952375e-05,9.589476535714292e-07,0.0,0.0,0.0,0.0
2024-01-16 04:46:01,2024-01-16 05:00:53,0.008733272333333335,0.004769211523809522,3.400724172619048e-05,8.97475532738095e-07,0.0,0.0,0.0,0.0
2024-01-16 05:01:04,2024-01-16 05:15:57,0.008700821065868265,0.004764862215568861,3.5147735149700596e-05,8.989981790419165e-07,0.0,0.0,0.0,0.0
2024-01-16 05:16:00,2024-01-16 05:30:52,0.008688429933734945,0.004747813740963857,3.511758289156627e-05,8.164720837349403e-07,0.0,0.0,0.0,0.0
2024-01-16 05:31:03,2024-01-16 05:45:57,0.008680878321428569,0.00475631397619048,3.283171297619047e-05,8.33908102380952e-07,0.0,0.0,0.0,0.0
2024-01-16 05:46:07,2024-01-16 06:00:52,0.008685627115151515,0.0047427121575757585,3.149623393939393e-05,8.439511412121213e-07,0.0,0.0,0.0,0.0
2024-01-16 06:01:02,2024-01-16 06:15:58,0.008598579214285714,0.0047303294761904735,2.849639279761904e-05,7.96297208333333e-07,0.0,0.0,0.0,0.0
2024-01-16 06:16:09,2024-01-16 06:30:58,0.008606158987878787,0.00473156743636364,2.5316542484848485e-05,6.924601866666663e-07,0.0,0.0,0.0,0.0
2024-01-16 06:31:09,2024-01-16 06:45:54,0.008527057648484848,0.004709277672727277,2.847324527272728e-05,6.43826613939394e-07,0.0,0.0,0.0,0.0
2024-01-16 06:46:05,2024-01-16 07:00:54,0.008592781303030301,0.0047535059454545435,2.6261414969696966e-05,7.237534412121211e-07,0.0,0.0,0.0,0.0
2024-01-16 07:01:05,2024-01-16 07:15:57,0.008692226715151519,0.004789543969696969,2.4714009151515138e-05,8.882745563636366e-07,0.0,0.0,0.0,0.0
2024-01-16 07:16:09,2024-01-16 07:30:59,0.00871347545121951,0.004774742323170731,2.379177524390244e-05,7.916341798780487e-07,0.0,0.0,0.0,0.0
2024-01-16 07:31:02,2024-01-16 07:45:59,0.008706009148148147,0.00478168024691358,2.5946657160493827e-05,7.540652722222223e-07,0.0,0.0,0.0,0.0
2024-01-16 07:46:02,2024-01-16 08:00:59,0.008737167536585362,0.004802574243902438,2.631930024390244e-05,6.805106310975606e-07,0.0,0.0,0.0,0.0
2024-01-16 08:01:02,2024-01-16 08:15:53,0.008703127086956518,0.004792293136645962,2.624039590062112e-05,6.45663859627329e-07,0.0,0.0,0.0,0.0
2024-01-16 08:16:04,2024-01-16 08:30:55,0.008825635575757579,0.00489007038787879,2.947360800000001e-05,6.596660072727274e-07,0.0,0.0,0.0,0.0
2024-01-16 08:31:06,2024-01-16 08:45:51,0.008801327111111111,0.00492028848148148,2.859637870370371e-05,6.506468185185185e-07,0.0,0.0,0.0,0.0
