Description for 1011.mat
=====================================
Link: Bristol ↔ BDFI, bidirectional, daily acquisition.
Sampling rate: 97656.250 Hz (Ts=1.024000e-05 s)
Total samples: 13910016
Blocks: 849

Each CSV contains: Time (datetime), S1, S2, S3 (Stokes parameters).

Blocks overview:
  Block  104: 0104_PM1000_20251011_111803_2025-10-11_13-12-37.mat.csv | samples=16384 | start=2025/10/11 13:12:35.094539000 | end=2025/10/11 13:12:35.262300920
  Block  105: 0105_PM1000_20251011_111803_2025-10-11_13-14-29.mat.csv | samples=16384 | start=2025/10/11 13:13:26.043739000 | end=2025/10/11 13:13:26.211500920
  Block  106: 0106_PM1000_20251011_111803_2025-10-11_13-15-20.mat.csv | samples=16384 | start=2025/10/11 13:15:18.126013999 | end=2025/10/11 13:15:18.293775919
  Block  107: 0107_PM1000_20251011_111803_2025-10-11_13-16-12.mat.csv | samples=16384 | start=2025/10/11 13:16:09.677772000 | end=2025/10/11 13:16:09.845533920
  Block  108: 0108_PM1000_20251011_111803_2025-10-11_13-18-04.mat.csv | samples=16384 | start=2025/10/11 13:17:01.148463999 | end=2025/10/11 13:17:01.316225920
  Block  109: 0109_PM1000_20251011_111803_2025-10-11_13-18-55.mat.csv | samples=16384 | start=2025/10/11 13:18:52.797940000 | end=2025/10/11 13:18:52.965701920
  Block  110: 0110_PM1000_20251011_111803_2025-10-11_13-19-46.mat.csv | samples=16384 | start=2025/10/11 13:19:43.899111999 | end=2025/10/11 13:19:44.066873919
  Block  111: 0111_PM1000_20251011_111803_2025-10-11_13-20-37.mat.csv | samples=16384 | start=2025/10/11 13:20:35.344373000 | end=2025/10/11 13:20:35.512134919
  Block  112: 0112_PM1000_20251011_111803_2025-10-11_13-21-28.mat.csv | samples=16384 | start=2025/10/11 13:21:26.175165000 | end=2025/10/11 13:21:26.342926919
  Block  113: 0113_PM1000_20251011_111803_2025-10-11_13-23-20.mat.csv | samples=16384 | start=2025/10/11 13:22:17.142906000 | end=2025/10/11 13:22:17.310667920
  Block  114: 0114_PM1000_20251011_111803_2025-10-11_13-24-11.mat.csv | samples=16384 | start=2025/10/11 13:24:09.265025000 | end=2025/10/11 13:24:09.432786920
  Block  115: 0115_PM1000_20251011_111803_2025-10-11_13-25-02.mat.csv | samples=16384 | start=2025/10/11 13:24:59.810790000 | end=2025/10/11 13:24:59.978551920
  Block  116: 0116_PM1000_20251011_111803_2025-10-11_13-25-51.mat.csv | samples=16384 | start=2025/10/11 13:25:49.098643000 | end=2025/10/11 13:25:49.266404920
  Block  117: 0117_PM1000_20251011_111803_2025-10-11_13-26-40.mat.csv | samples=16384 | start=2025/10/11 13:26:38.324302000 | end=2025/10/11 13:26:38.492063919
  Block  118: 0118_PM1000_20251011_111803_2025-10-11_13-27-29.mat.csv | samples=16384 | start=2025/10/11 13:27:27.355046000 | end=2025/10/11 13:27:27.522807920
  Block  119: 0119_PM1000_20251011_111803_2025-10-11_13-28-18.mat.csv | samples=16384 | start=2025/10/11 13:28:16.411274000 | end=2025/10/11 13:28:16.579035920
  Block  120: 0120_PM1000_20251011_111803_2025-10-11_13-29-08.mat.csv | samples=16384 | start=2025/10/11 13:29:05.571277000 | end=2025/10/11 13:29:05.739038920
  Block  121: 0121_PM1000_20251011_111803_2025-10-11_13-29-57.mat.csv | samples=16384 | start=2025/10/11 13:29:54.962308000 | end=2025/10/11 13:29:55.130069920
  Block  122: 0122_PM1000_20251011_111803_2025-10-11_13-30-47.mat.csv | samples=16384 | start=2025/10/11 13:30:44.620735000 | end=2025/10/11 13:30:44.788496920
  Block  123: 0123_PM1000_20251011_111803_2025-10-11_13-31-36.mat.csv | samples=16384 | start=2025/10/11 13:31:33.563216000 | end=2025/10/11 13:31:33.730977920
  Block  124: 0124_PM1000_20251011_111803_2025-10-11_13-32-25.mat.csv | samples=16384 | start=2025/10/11 13:32:22.717993000 | end=2025/10/11 13:32:22.885754920
  Block  125: 0125_PM1000_20251011_111803_2025-10-11_13-33-14.mat.csv | samples=16384 | start=2025/10/11 13:33:12.149186000 | end=2025/10/11 13:33:12.316947920
  Block  126: 0126_PM1000_20251011_111803_2025-10-11_13-34-03.mat.csv | samples=16384 | start=2025/10/11 13:34:01.296641000 | end=2025/10/11 13:34:01.464402920
  Block  127: 0127_PM1000_20251011_111803_2025-10-11_13-34-52.mat.csv | samples=16384 | start=2025/10/11 13:34:50.326693000 | end=2025/10/11 13:34:50.494454920
  Block  128: 0128_PM1000_20251011_111803_2025-10-11_13-35-42.mat.csv | samples=16384 | start=2025/10/11 13:35:39.504368999 | end=2025/10/11 13:35:39.672130920
  Block  129: 0129_PM1000_20251011_111803_2025-10-11_13-36-31.mat.csv | samples=16384 | start=2025/10/11 13:36:28.671876000 | end=2025/10/11 13:36:28.839637920
  Block  130: 0130_PM1000_20251011_111803_2025-10-11_13-37-20.mat.csv | samples=16384 | start=2025/10/11 13:37:17.683881000 | end=2025/10/11 13:37:17.851642920
  Block  131: 0131_PM1000_20251011_111803_2025-10-11_13-38-09.mat.csv | samples=16384 | start=2025/10/11 13:38:06.728090000 | end=2025/10/11 13:38:06.895851920
  Block  132: 0132_PM1000_20251011_111803_2025-10-11_13-38-58.mat.csv | samples=16384 | start=2025/10/11 13:38:55.896932000 | end=2025/10/11 13:38:56.064693919
  Block  133: 0133_PM1000_20251011_111803_2025-10-11_13-39-47.mat.csv | samples=16384 | start=2025/10/11 13:39:45.082497000 | end=2025/10/11 13:39:45.250258920
  Block  134: 0134_PM1000_20251011_111803_2025-10-11_13-41-37.mat.csv | samples=16384 | start=2025/10/11 13:40:34.432748000 | end=2025/10/11 13:40:34.600509920
  Block  135: 0135_PM1000_20251011_111803_2025-10-11_13-42-27.mat.csv | samples=16384 | start=2025/10/11 13:42:24.574797000 | end=2025/10/11 13:42:24.742558920
  Block  136: 0136_PM1000_20251011_111803_2025-10-11_13-43-16.mat.csv | samples=16384 | start=2025/10/11 13:43:13.654671000 | end=2025/10/11 13:43:13.822432920
  Block  137: 0137_PM1000_20251011_111803_2025-10-11_13-44-05.mat.csv | samples=16384 | start=2025/10/11 13:44:02.589867000 | end=2025/10/11 13:44:02.757628920
  Block  138: 0138_PM1000_20251011_111803_2025-10-11_13-44-54.mat.csv | samples=16384 | start=2025/10/11 13:44:51.537025000 | end=2025/10/11 13:44:51.704786920
  Block  139: 0139_PM1000_20251011_111803_2025-10-11_13-45-43.mat.csv | samples=16384 | start=2025/10/11 13:45:41.071898000 | end=2025/10/11 13:45:41.239659920
